END_USES_CATEGORIES;END_USES_TYPES_OF_CATEGORY
ELECTRICITY;ELECTRICITY
HEAT_HIGH_T;HEAT_HIGH_T
HEAT_LOW_T;HEAT_LOW_T_DHN
HEAT_LOW_T;HEAT_LOW_T_DECEN
MOBILITY_PASSENGER;MOB_PUBLIC_URBAN
MOBILITY_PASSENGER;MOB_PRIVATE_NA_URBAN
MOBILITY_PASSENGER;MOB_PRIVATE_A_URBAN
MOBILITY_PASSENGER;MOB_PUBLIC_RURAL
MOBILITY_PASSENGER;MOB_PRIVATE_NA_RURAL
MOBILITY_PASSENGER;MOB_PRIVATE_A_RURAL
MOBILITY_FREIGHT;MOB_FREIGHT_RAIL
MOBILITY_FREIGHT;MOB_FREIGHT_BOAT
MOBILITY_FREIGHT;MOB_FREIGHT_ROAD
NON_ENERGY;AMMONIA
NON_ENERGY;METHANOL
NON_ENERGY;HVC
